Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Qatar (H),0,0,0,0,0,0,0,0,Advance to knockout stage
2,Ecuador,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Senegal,0,0,0,0,0,0,0,0,
4,Netherlands,0,0,0,0,0,0,0,0,
1,England,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Iran,0,0,0,0,0,0,0,0,Advance to knockout stage
3,United States,0,0,0,0,0,0,0,0,
4,Wales,0,0,0,0,0,0,0,0,
1,Argentina,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Saudi Arabia,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Mexico,0,0,0,0,0,0,0,0,
4,Poland,0,0,0,0,0,0,0,0,
1,France,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Australia,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Denmark,0,0,0,0,0,0,0,0,
4,Tunisia,0,0,0,0,0,0,0,0,
1,Spain,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Costa Rica,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Germany,0,0,0,0,0,0,0,0,
4,Japan,0,0,0,0,0,0,0,0,
1,Belgium,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Canada,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Morocco,0,0,0,0,0,0,0,0,
4,Croatia,0,0,0,0,0,0,0,0,
1,Brazil,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Serbia,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Switzerland,0,0,0,0,0,0,0,0,
4,Cameroon,0,0,0,0,0,0,0,0,
1,Portugal,0,0,0,0,0,0,0,0,Advance to knockout stage
2,Ghana,0,0,0,0,0,0,0,0,Advance to knockout stage
3,Uruguay,0,0,0,0,0,0,0,0,
4,South Korea,0,0,0,0,0,0,0,0,
